feature,correlation_with_target,abs_correlation
annual_premium,0.9656470649235738,0.9656470649235738
monthly_premium,0.9656470020286232,0.9656470020286232
total_claims_paid,0.746651077929417,0.746651077929417
avg_claim_amount,0.6386203208582916,0.6386203208582916
chronic_count,0.2954510471817424,0.2954510471817424
is_high_risk,0.2517323296670984,0.2517323296670984
days_hospitalized_last_3yrs,0.22418784856900836,0.22418784856900836
hospitalizations_last_3yrs,0.20328997783872976,0.20328997783872976
visits_last_year,0.19948077127155395,0.19948077127155395
claims_count,0.1821097356261238,0.1821097356261238
hypertension,0.157268694586765,0.157268694586765
smoker,-0.1534461288389368,0.1534461288389368
had_major_procedure,0.14883119753217758,0.14883119753217758
systolic_bp,0.1469068953353204,0.1469068953353204
age,0.13227239338110758,0.13227239338110758
mental_health,0.12327349663355743,0.12327349663355743
diastolic_bp,0.11947186656952186,0.11947186656952186
arthritis,0.11706209018735364,0.11706209018735364
medication_count,0.11046053143757621,0.11046053143757621
diabetes,0.10688238836025163,0.10688238836025163
hba1c,0.08239883071524644,0.08239883071524644
asthma,0.08000929241252107,0.08000929241252107
proc_surgery_count,0.07806480365039423,0.07806480365039423
cardiovascular_disease,0.07582266021395447,0.07582266021395447
copd,0.06871699523061287,0.06871699523061287
proc_imaging_count,0.055386604858962143,0.055386604858962143
liver_disease,0.051735788197379146,0.051735788197379146
proc_lab_count,0.050857530099377775,0.050857530099377775
proc_consult_count,0.05081954223933265,0.05081954223933265
cancer_history,0.050721958810885634,0.050721958810885634
bmi,0.045638075094242316,0.045638075094242316
kidney_disease,0.043931148109699954,0.043931148109699954
proc_physio_count,0.04281138029088997,0.04281138029088997
ldl,0.02204858607635188,0.02204858607635188
region,0.009418764876794288,0.009418764876794288
deductible,-0.0050811787240418,0.0050811787240418
alcohol_freq,-0.00482415414549467,0.00482415414549467
education,0.0044463022377967685,0.0044463022377967685
household_size,0.003941459294875016,0.003941459294875016
plan_type,0.0038508959172039365,0.0038508959172039365
employment_status,0.003655604741042042,0.003655604741042042
sex,0.003071922985609982,0.003071922985609982
marital_status,-0.0030586724565230456,0.0030586724565230456
network_tier,0.0026402683035615525,0.0026402683035615525
copay,0.0023711551188828226,0.0023711551188828226
dependents,0.0022188719087277717,0.0022188719087277717
income,-0.0015410698459268827,0.0015410698459268827
urban_rural,-0.000393308060382245,0.000393308060382245
